phase,condition,seed,status,final_accuracy,run_health,max_test_loss,halted_rounds,updates_used,malicious_updates_used,minority_decisions,last_10_accuracy,worst_client_accuracy,backdoor_asr,virtual_time,wall_seconds,benign_false_reject_rate,benign_defer_rate,minority_false_reject_rate,minority_defer_rate,mean_staleness,server_p95_ms,deadline_miss_rate,last_logged_round,last_logged_accuracy,last_logged_loss,failure_reason,record
1,triage_ipm,1,complete,0.0958,high_loss,7619.12751953125,0,236,51,0,0.09701,0.0,,104,233.9128468000563,0.0,0.0945273631840796,,,1.36864406779661,68.11030507669784,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_150289cee5.json
1,triage_ipm,2,complete,0.183,high_loss,663.7350858398438,0,226,37,0,0.17091,0.0,,109,232.99665099999402,0.0,0.07389162561576355,,,1.3716814159292035,75.03277995856479,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_069b464a7e.json
1,baseline_backdoor,0,complete,0.0892,ok,32.54924685058594,0,244,54,0,0.09728,0.0,0.0,105,341.9692003999371,0.0,0.0,,,1.3278688524590163,64.62092491565272,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_bc58b863cd.json
1,baseline_backdoor,1,complete,0.5504,ok,14.291411080932617,0,236,51,0,0.38491000000000003,0.0,0.917960088691796,104,339.94816789997276,0.0,0.0,,,1.36864406779661,61.8698249629233,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_0f3a34baf8.json
1,baseline_backdoor,2,complete,0.1601,ok,43.492575079345706,0,226,44,0,0.25258,0.0,0.0,105,340.6580080999993,0.0,0.0,,,1.4823008849557522,63.795990054495626,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_0be5b1355e.json
1,triage_backdoor,0,complete,0.4499,ok,23.08993137512207,0,244,54,0,0.37881,0.0,0.996119733924612,105,340.6629396000644,0.0,0.06930693069306931,,,1.3278688524590163,66.43394998973235,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_69cb8d0c9c.json
1,triage_backdoor,1,complete,0.5436,ok,58.262558978271485,0,235,51,0,0.33311,0.0,0.012749445676274944,104,339.9521596999839,0.0,0.09045226130653267,,,1.374468085106383,64.11730996915139,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_21e54cde77.json
1,triage_backdoor,2,complete,0.1059,ok,18.291435729980467,0,226,44,0,0.19442,0.0,0.0,105,337.0852758999681,0.0,0.07692307692307693,,,1.4823008849557522,67.07602507085538,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_5963f894b9.json
2,baseline_ipm,0,failed,,stopped_divergence,104.0879,,,,,,,,,151.90437050000764,,,,,,,,63,0.1032,11.7813,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,baseline_ipm,1,failed,,stopped_divergence,976.2565,,,,,,,,,90.08325519994833,,,,,,,,35,0.0974,41.5876,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,baseline_ipm,2,failed,,stopped_divergence,37798058.496,,,,,,,,,127.86342009995133,,,,,,,,49,0.101,37798058.496,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,triage_ipm,0,failed,,stopped_divergence,163168283.648,,,,,,,,,70.70221480005421,,,,,,,,25,0.101,714045.4319,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,triage_ipm,1,failed,,stopped_divergence,321112487.4752,,,,,,,,,88.78409089997876,,,,,,,,34,0.0973,180.8015,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,triage_ipm,2,complete,0.1428,high_loss,647.5287485351563,0,233,43,0,0.27229,0.0,,111,235.50422399991658,0.0,0.07317073170731707,,,1.3605150214592274,66.4944649732206,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_867327f723.json
2,baseline_timed_ipm,0,failed,,stopped_divergence,27.8565,,,,,,,,,181.44398480001837,,,,,,,,79,0.1941,9.1796,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,baseline_timed_ipm,1,complete,0.315,high_loss,176.59297946777343,0,209,31,0,0.32235,0.0,,116,227.3475995999761,0.0,0.0,,,1.6507177033492824,60.94660511007532,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_9902572e48.json
2,baseline_timed_ipm,2,complete,0.098,ok,39.562931463623045,0,190,30,0,0.12598,0.0,,114,225.9851187999593,0.0,0.0,,,1.9,57.683980074943975,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_21cdcf1b44.json
2,triage_timed_ipm,0,complete,0.1933,ok,44.187743463134765,0,198,32,0,0.12565,0.0,,113,228.3975723000476,0.0,0.0625,,,1.803030303030303,68.3554699353408,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_43c1e0b2d5.json
2,triage_timed_ipm,1,complete,0.101,high_loss,221.13089377441406,0,210,31,0,0.10281,0.0,,116,230.34825629997067,0.0,0.10152284263959391,,,1.6428571428571428,61.60423998371698,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_da8d292f6b.json
2,triage_timed_ipm,2,complete,0.4598,ok,45.342530633544925,0,189,30,0,0.28450000000000003,0.0,,113,224.0939347000094,0.0,0.04790419161676647,,,1.9365079365079365,56.225605012150474,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_5cf5359f0e.json
2,baseline_joint_random,0,complete,0.1028,ok,23.48105581970215,0,223,39,0,0.09966,0.0,,110,234.4360572999576,0.0,0.0,,,1.5426008968609866,64.75437500630505,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_2da3f796f1.json
2,baseline_joint_random,1,failed,,stopped_divergence,19.0393,,,,,,,,,229.04203639994375,,,,,,,,96,0.2203,3.4841,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,baseline_joint_random,2,complete,0.1968,ok,43.45362900390625,0,207,31,0,0.25676,0.0,,110,231.0335060999496,0.0,0.0,,,1.6521739130434783,62.33451992738992,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_d4f9cda60b.json
2,triage_joint_random,0,complete,0.4745,ok,86.86146177978516,0,223,39,0,0.42515,0.0,,110,234.61933500005398,0.0,0.0845771144278607,,,1.5426008968609866,67.40251000737771,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_d04b6ba377.json
2,triage_joint_random,1,failed,,stopped_divergence,5057.7987,,,,,,,,,165.71356879989617,,,,,,,,67,0.0974,2306.3469,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,triage_joint_random,2,complete,0.1032,high_loss,943.2175763671875,0,204,30,0,0.10063,0.0,,110,228.3444305000594,0.0,0.09895833333333333,,,1.6225490196078431,66.85885007609613,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_e938b44776.json
2,baseline_joint_timing,0,failed,,stopped_divergence,2768.5821,,,,,,,,,241.79453670000657,,,,,,,,96,0.0892,1727.8205,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
2,baseline_joint_timing,1,complete,0.6676,ok,11.840013009643554,0,258,59,0,0.70431,0.11295681063122924,,102,246.51104699994903,0.0,0.0,,,1.189922480620155,65.12825499521568,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_c39bc8670e.json
